conceptId,domain,subdomain,concept,objectiveId,learningObjective,questionType,difficulty,examWeight,marylandSpecific,questionTarget,status,sourceBasis,generationPrompt
md-lh-0002,Insurance Regulation,Licensing,Resident producer application,md-lh-0002-obj-5,"Recognize common exam traps, misleading wording, or incorrect distractors involving Resident producer application.",Trap/Distractor,Hard,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Resident producer application' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0002,Insurance Regulation,Licensing,Resident producer application,md-lh-0002-obj-6,"Apply Maryland-specific or federal rules that may affect Resident producer application, when applicable.",Maryland/Federal Rule,Prometric,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Resident producer application' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0003,Insurance Regulation,Licensing,Nonresident producer licensing,md-lh-0003-obj-1,Define Nonresident producer licensing and identify its core purpose on the Maryland Life & Health exam.,Definition,Easy,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Nonresident producer licensing' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0003,Insurance Regulation,Licensing,Nonresident producer licensing,md-lh-0003-obj-2,Identify Nonresident producer licensing when it appears in a realistic client or producer scenario.,Scenario,Moderate,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Nonresident producer licensing' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0003,Insurance Regulation,Licensing,Nonresident producer licensing,md-lh-0003-obj-3,"Compare Nonresident producer licensing with closely related terms, products, provisions, or regulations.",Comparison,Moderate,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Nonresident producer licensing' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0003,Insurance Regulation,Licensing,Nonresident producer licensing,md-lh-0003-obj-4,"Determine whether Nonresident producer licensing is appropriate for a client's stated need, age, risk, or coverage goal.",Suitability,Prometric,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Nonresident producer licensing' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0003,Insurance Regulation,Licensing,Nonresident producer licensing,md-lh-0003-obj-5,"Recognize common exam traps, misleading wording, or incorrect distractors involving Nonresident producer licensing.",Trap/Distractor,Hard,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Nonresident producer licensing' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0003,Insurance Regulation,Licensing,Nonresident producer licensing,md-lh-0003-obj-6,"Apply Maryland-specific or federal rules that may affect Nonresident producer licensing, when applicable.",Maryland/Federal Rule,Prometric,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Nonresident producer licensing' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0004,Insurance Regulation,Licensing,Temporary producer license,md-lh-0004-obj-1,Define Temporary producer license and identify its core purpose on the Maryland Life & Health exam.,Definition,Easy,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Temporary producer license' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0004,Insurance Regulation,Licensing,Temporary producer license,md-lh-0004-obj-2,Identify Temporary producer license when it appears in a realistic client or producer scenario.,Scenario,Moderate,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Temporary producer license' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0004,Insurance Regulation,Licensing,Temporary producer license,md-lh-0004-obj-3,"Compare Temporary producer license with closely related terms, products, provisions, or regulations.",Comparison,Moderate,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Temporary producer license' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0004,Insurance Regulation,Licensing,Temporary producer license,md-lh-0004-obj-4,"Determine whether Temporary producer license is appropriate for a client's stated need, age, risk, or coverage goal.",Suitability,Prometric,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Temporary producer license' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0004,Insurance Regulation,Licensing,Temporary producer license,md-lh-0004-obj-5,"Recognize common exam traps, misleading wording, or incorrect distractors involving Temporary producer license.",Trap/Distractor,Hard,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Temporary producer license' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0004,Insurance Regulation,Licensing,Temporary producer license,md-lh-0004-obj-6,"Apply Maryland-specific or federal rules that may affect Temporary producer license, when applicable.",Maryland/Federal Rule,Prometric,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Temporary producer license' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0005,Insurance Regulation,Licensing,License renewal cycle,md-lh-0005-obj-1,Define License renewal cycle and identify its core purpose on the Maryland Life & Health exam.,Definition,Easy,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'License renewal cycle' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0005,Insurance Regulation,Licensing,License renewal cycle,md-lh-0005-obj-2,Identify License renewal cycle when it appears in a realistic client or producer scenario.,Scenario,Moderate,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'License renewal cycle' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0005,Insurance Regulation,Licensing,License renewal cycle,md-lh-0005-obj-3,"Compare License renewal cycle with closely related terms, products, provisions, or regulations.",Comparison,Moderate,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'License renewal cycle' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0005,Insurance Regulation,Licensing,License renewal cycle,md-lh-0005-obj-4,"Determine whether License renewal cycle is appropriate for a client's stated need, age, risk, or coverage goal.",Suitability,Prometric,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'License renewal cycle' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0005,Insurance Regulation,Licensing,License renewal cycle,md-lh-0005-obj-5,"Recognize common exam traps, misleading wording, or incorrect distractors involving License renewal cycle.",Trap/Distractor,Hard,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'License renewal cycle' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0005,Insurance Regulation,Licensing,License renewal cycle,md-lh-0005-obj-6,"Apply Maryland-specific or federal rules that may affect License renewal cycle, when applicable.",Maryland/Federal Rule,Prometric,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'License renewal cycle' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0006,Insurance Regulation,Licensing,Continuing education requirements,md-lh-0006-obj-1,Define Continuing education requirements and identify its core purpose on the Maryland Life & Health exam.,Definition,Easy,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Continuing education requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0006,Insurance Regulation,Licensing,Continuing education requirements,md-lh-0006-obj-2,Identify Continuing education requirements when it appears in a realistic client or producer scenario.,Scenario,Moderate,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Continuing education requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0006,Insurance Regulation,Licensing,Continuing education requirements,md-lh-0006-obj-3,"Compare Continuing education requirements with closely related terms, products, provisions, or regulations.",Comparison,Moderate,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Continuing education requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0006,Insurance Regulation,Licensing,Continuing education requirements,md-lh-0006-obj-4,"Determine whether Continuing education requirements is appropriate for a client's stated need, age, risk, or coverage goal.",Suitability,Prometric,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Continuing education requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0006,Insurance Regulation,Licensing,Continuing education requirements,md-lh-0006-obj-5,"Recognize common exam traps, misleading wording, or incorrect distractors involving Continuing education requirements.",Trap/Distractor,Hard,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Continuing education requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0006,Insurance Regulation,Licensing,Continuing education requirements,md-lh-0006-obj-6,"Apply Maryland-specific or federal rules that may affect Continuing education requirements, when applicable.",Maryland/Federal Rule,Prometric,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Continuing education requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0007,Insurance Regulation,Licensing,Appointments by insurers,md-lh-0007-obj-1,Define Appointments by insurers and identify its core purpose on the Maryland Life & Health exam.,Definition,Easy,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Appointments by insurers' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0007,Insurance Regulation,Licensing,Appointments by insurers,md-lh-0007-obj-2,Identify Appointments by insurers when it appears in a realistic client or producer scenario.,Scenario,Moderate,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Appointments by insurers' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0007,Insurance Regulation,Licensing,Appointments by insurers,md-lh-0007-obj-3,"Compare Appointments by insurers with closely related terms, products, provisions, or regulations.",Comparison,Moderate,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Appointments by insurers' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0007,Insurance Regulation,Licensing,Appointments by insurers,md-lh-0007-obj-4,"Determine whether Appointments by insurers is appropriate for a client's stated need, age, risk, or coverage goal.",Suitability,Prometric,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Appointments by insurers' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0007,Insurance Regulation,Licensing,Appointments by insurers,md-lh-0007-obj-5,"Recognize common exam traps, misleading wording, or incorrect distractors involving Appointments by insurers.",Trap/Distractor,Hard,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Appointments by insurers' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0007,Insurance Regulation,Licensing,Appointments by insurers,md-lh-0007-obj-6,"Apply Maryland-specific or federal rules that may affect Appointments by insurers, when applicable.",Maryland/Federal Rule,Prometric,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Appointments by insurers' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0008,Insurance Regulation,Licensing,Termination of appointment,md-lh-0008-obj-1,Define Termination of appointment and identify its core purpose on the Maryland Life & Health exam.,Definition,Easy,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Termination of appointment' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0008,Insurance Regulation,Licensing,Termination of appointment,md-lh-0008-obj-2,Identify Termination of appointment when it appears in a realistic client or producer scenario.,Scenario,Moderate,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Termination of appointment' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0008,Insurance Regulation,Licensing,Termination of appointment,md-lh-0008-obj-3,"Compare Termination of appointment with closely related terms, products, provisions, or regulations.",Comparison,Moderate,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Termination of appointment' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0008,Insurance Regulation,Licensing,Termination of appointment,md-lh-0008-obj-4,"Determine whether Termination of appointment is appropriate for a client's stated need, age, risk, or coverage goal.",Suitability,Prometric,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Termination of appointment' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0008,Insurance Regulation,Licensing,Termination of appointment,md-lh-0008-obj-5,"Recognize common exam traps, misleading wording, or incorrect distractors involving Termination of appointment.",Trap/Distractor,Hard,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Termination of appointment' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0008,Insurance Regulation,Licensing,Termination of appointment,md-lh-0008-obj-6,"Apply Maryland-specific or federal rules that may affect Termination of appointment, when applicable.",Maryland/Federal Rule,Prometric,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Termination of appointment' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0009,Insurance Regulation,Licensing,Assumed names and trade names,md-lh-0009-obj-1,Define Assumed names and trade names and identify its core purpose on the Maryland Life & Health exam.,Definition,Easy,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Assumed names and trade names' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0009,Insurance Regulation,Licensing,Assumed names and trade names,md-lh-0009-obj-2,Identify Assumed names and trade names when it appears in a realistic client or producer scenario.,Scenario,Moderate,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Assumed names and trade names' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0009,Insurance Regulation,Licensing,Assumed names and trade names,md-lh-0009-obj-3,"Compare Assumed names and trade names with closely related terms, products, provisions, or regulations.",Comparison,Moderate,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Assumed names and trade names' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0009,Insurance Regulation,Licensing,Assumed names and trade names,md-lh-0009-obj-4,"Determine whether Assumed names and trade names is appropriate for a client's stated need, age, risk, or coverage goal.",Suitability,Prometric,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Assumed names and trade names' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0009,Insurance Regulation,Licensing,Assumed names and trade names,md-lh-0009-obj-5,"Recognize common exam traps, misleading wording, or incorrect distractors involving Assumed names and trade names.",Trap/Distractor,Hard,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Assumed names and trade names' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0009,Insurance Regulation,Licensing,Assumed names and trade names,md-lh-0009-obj-6,"Apply Maryland-specific or federal rules that may affect Assumed names and trade names, when applicable.",Maryland/Federal Rule,Prometric,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Assumed names and trade names' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0010,Insurance Regulation,Licensing,Change of address reporting,md-lh-0010-obj-1,Define Change of address reporting and identify its core purpose on the Maryland Life & Health exam.,Definition,Easy,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Change of address reporting' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0010,Insurance Regulation,Licensing,Change of address reporting,md-lh-0010-obj-2,Identify Change of address reporting when it appears in a realistic client or producer scenario.,Scenario,Moderate,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Change of address reporting' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0010,Insurance Regulation,Licensing,Change of address reporting,md-lh-0010-obj-3,"Compare Change of address reporting with closely related terms, products, provisions, or regulations.",Comparison,Moderate,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Change of address reporting' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
